year,observed,trend,seasonal,cyclical,residual
2000-01-01,7528,7528.0,0.0,0.0,0.0
2001-01-01,8350,8350.0,0.0,0.0,0.0
2002-01-01,8266,8266.0,0.0,0.0,0.0
2003-01-01,8384,8384.0,0.0,0.0,0.0
2004-01-01,8371,8371.0,0.0,0.0,0.0
2005-01-01,8206,8206.0,0.0,0.0,0.0
2006-01-01,10042,10042.0,0.0,0.0,0.0
2007-01-01,9876,9876.0,0.0,0.0,0.0
2008-01-01,9677,9677.0,0.0,0.0,0.0
2009-01-01,10121,10121.0,0.0,0.0,0.0
2010-01-01,9882,9882.0,0.0,0.0,0.0
2011-01-01,9874,9874.0,0.0,0.0,0.0
2012-01-01,10960,10960.0,0.0,0.0,0.0
2013-01-01,10671,10671.0,0.0,0.0,0.0
2014-01-01,10994,10994.0,0.0,0.0,0.0
2015-01-01,10628,10628.0,0.0,0.0,0.0
2016-01-01,11534,11534.0,0.0,0.0,0.0
2017-01-01,11491,11491.0,0.0,0.0,0.0
2018-01-01,11043,11043.0,0.0,0.0,0.0
2019-01-01,11902,11902.0,0.0,0.0,0.0
2020-01-01,3964,3964.0,0.0,0.0,0.0
2021-01-01,7522,7522.0,0.0,0.0,0.0
2022-01-01,14041,14041.0,0.0,0.0,0.0
2023-01-01,16081,16081.0,0.0,0.0,0.0
2024-01-01,16423,16423.0,0.0,0.0,0.0
