year,original,SMA_3,SMA_5,LOWESS_50,LOWESS_70
2000-01-01,7528,,,7674.815318038108,7725.7669139539275
2001-01-01,8350,8048.0,,7929.501116588023,7972.030661189039
2002-01-01,8266,8333.333333333334,8179.8,8191.411191449604,8218.006805649842
2003-01-01,8384,8340.333333333334,8315.4,8459.802315783523,8463.109236786804
2004-01-01,8371,8320.333333333334,8653.8,8729.376015164687,8706.313548854981
2005-01-01,8206,8873.0,8975.8,8986.35905969546,8946.517656702108
2006-01-01,10042,9374.666666666666,9234.4,9220.729319502996,9183.341684402014
2007-01-01,9876,9865.0,9584.4,9456.30546040635,9418.645821290445
2008-01-01,9677,9891.333333333334,9919.6,9709.429266356523,9657.876463202008
2009-01-01,10121,9893.333333333334,9886.0,9952.222676906837,9890.590888485734
2010-01-01,9882,9959.0,10102.8,10151.933509728442,10114.632828028269
2011-01-01,9874,10238.666666666666,10301.6,10308.294544896953,10317.816828796782
2012-01-01,10960,10501.666666666666,10476.2,10476.041563419129,10495.44718468297
2013-01-01,10671,10875.0,10625.4,10665.057984607332,10663.710097877403
2014-01-01,10994,10764.333333333334,10957.4,10852.584312566207,10840.177618298852
2015-01-01,10628,11052.0,11063.6,11035.817160061046,11029.915570891979
2016-01-01,11534,11217.666666666666,11138.0,11199.73376280983,11250.735249908463
2017-01-01,11491,11356.0,11319.6,11403.85071536283,11546.973497645546
2018-01-01,11043,11478.666666666666,9986.8,11836.673391193039,11853.204600757534
2019-01-01,11902,8969.666666666666,9184.4,12464.827679333577,12156.237826829358
2020-01-01,3964,7796.0,9694.4,13238.590601082804,12459.13091980766
2021-01-01,7522,8509.0,10702.0,13958.440141421544,12767.692553087627
2022-01-01,14041,12548.0,11606.2,14681.768031553842,13086.970619500737
2023-01-01,16081,15515.0,,15419.053291715933,13419.852200978916
2024-01-01,16423,,,16175.105839608692,13764.87756365365
